60.0,550 ± 150
59.9,540 ± 140
59.8,530 ± 140
59.7,530 ± 140
59.6,520 ± 140
59.5,520 ± 140
59.4,520 ± 140
59.3,530 ± 140
59.2,530 ± 140
59.1,530 ± 140
59.0,530 ± 140
58.9,530 ± 140
58.8,540 ± 140
58.7,540 ± 150
58.6,550 ± 150
58.5,550 ± 150
58.4,550 ± 150
58.3,560 ± 150
58.2,560 ± 150
58.1,570 ± 150
58.0,570 ± 150
57.9,580 ± 160
57.8,580 ± 160
57.7,590 ± 160
57.6,600 ± 160
57.5,600 ± 160
57.4,610 ± 160
57.3,620 ± 170
57.2,630 ± 170
57.1,630 ± 170
57.0,640 ± 170
56.9,650 ± 170
56.8,660 ± 180
56.7,670 ± 180
56.6,680 ± 180
56.5,690 ± 180
56.4,700 ± 190
56.3,710 ± 190
56.2,730 ± 200
56.1,730 ± 200
56.0,750 ± 200
55.9,760 ± 200
55.8,780 ± 210
55.7,790 ± 210
55.6,810 ± 220
55.5,820 ± 220
55.4,840 ± 230
55.3,850 ± 230
55.2,870 ± 230
55.1,890 ± 240
55.0,910 ± 240
54.9,900 ± 300
54.8,1000 ± 300
54.7,1000 ± 300
54.6,1000 ± 300
54.5,1000 ± 300
54.4,1100 ± 300
54.3,1100 ± 300
54.2,1100 ± 300
54.1,1200 ± 300
54.0,1200 ± 300
53.9,1300 ± 300
53.8,1300 ± 300
53.7,1300 ± 400
53.6,1400 ± 400
53.5,1500 ± 400
53.4,1500 ± 400
53.3,1600 ± 400
53.2,1700 ± 500
53.1,1800 ± 500
53.0,1900 ± 500
52.9,2000 ± 500
52.8,2100 ± 600
52.7,2300 ± 600
52.6,2500 ± 700
52.5,2800 ± 700
52.4,3100 ± 800
52.2,3300 ± 900
52.1,3400 ± 900
52.0,3900 ± 1100
51.9,4500 ± 1200
51.8,5400 ± 1400
51.7,7200 ± 1900
51.6,9000 ± 2400
51.5,1300 ± 300
51.4,1500 ± 400
51.3,1500 ± 400
51.2,1300 ± 300
51.1,9000 ± 3000
51.0,8100 ± 2200
50.9,7800 ± 2100
50.8,6700 ± 1800
50.7,6000 ± 1600
50.6,5500 ± 1500
50.5,4900 ± 1300
50.4,4800 ± 1300
50.3,4300 ± 1100
50.2,3900 ± 1100
50.1,3700 ± 1000
50.0,3500 ± 900
49.9,3300 ± 900
49.8,3200 ± 800
49.7,3000 ± 800
49.6,2900 ± 800
49.5,2700 ± 700
49.4,2600 ± 700
49.3,2500 ± 700
49.2,2400 ± 700
49.1,2300 ± 600
49.0,2300 ± 600
48.9,2200 ± 600
48.8,2100 ± 600
48.7,2000 ± 500
48.6,2000 ± 500
48.5,1900 ± 500
48.4,1900 ± 500
48.3,1800 ± 500
48.2,1700 ± 500
48.1,1700 ± 500
48.0,1700 ± 400
